11/14/2014,great app. love that with prime you can listen to a bunch of free music,amazon
7/31/2015,I love the music it's non stop no commercial if u are lookaying for music this is the place to be.... I listen to this at home in my car and at work it's great I give it five stars all the way,amazon
5/30/2015,I have this on my Samsung Galaxy S7 Edge and I use it almost daily. I love it!,amazon
10/2/2016,I love music especially when out sailing I take the Bluetooth speaker and just go. That's great,amazon
7/18/2016,"I love it. I have not found if favorite station scan be created per Pandora. If so, 5 star.",amazon
8/2/2016,I love my Amazon music involvement. Utilization of my Amazon Cloud and the Prime music program is TERRIFIC. I am so enjoying .,amazon
3/3/2016,Prime is Amazing! Love not having to drive 30 or more miles to buy stuff. We live is a small rural town. Free shipping and fast delivery. Yay....??,amazon
12/2/2015,Love the fact I could purchase inserts for my ugg slippers!,amazon
2/19/2017,"So far i love it, doesnt have some soundtracks or alot of kiss music but im impressed so far",amazon
7/30/2016,I just love this app. Works great on my android phones. I just wish they made one for my windows phone.,amazon
3/30/2015,"I love the different ""stations"" I can listen to so conveniently.",amazon
7/22/2015,I love listening to the Amazon Music. I listen all day at work.,amazon
11/30/2016,I love amazon music. Only complaint is that there isnt too many new releases uploaded. But i love the selection they do have,amazon
3/1/2016,"Love this...easy listening, I can listen to baby different genre's all in one sitting within my library is 3 more convenient them my xm radio. ??",amazon
12/3/2015,I love this... Use it daily.,amazon
5/3/2017,"wow. just wow
 I think there might be an actual person behind the song selections.
 my own playlists
 songs from the whole Amazonian jungle to build from.
 I love it.",amazon
6/15/2015,"I have been lookaying for an app where I can purchase the music I like so I can download it to my Galaxy 4! This was the app that I could do that with! Also any music that I buy is stored in my ""Amazon Cloud Player"" and it doesn't get any better than that! Love this app!",amazon
3/15/2014,I use to love this app and then it updated and I keep having issues with it. When I am playing offline it keeps stopping and telling me it can't connect to the internet. And if I shut the app down it doesn't remember what I was playing. So I have to start my play list over. I wish I could go back to the old app.,amazon
11/2/2016,"I love this app. My only issue is songs being available and then, poof, pay only.",amazon
3/8/2017,I love this store ever since I left Itunes a couple of years ago because Itunes had only protected songs and could not use it on my other MP3 devices. Thanks to Amazon MP3 I have never gone back and all there songs are high quality and also has a large library of songs. This app easily allows you to buy and download songs very quickly and any other songs you have stored on the Amazon Cloud is also accessible thru this app.,amazon
9/29/2011,"I love the idea of MP3 music, available at home or ""on the go"". If you love music like I do, it's so great to have it available on my ""smart phone"", to practice dance steps, to share the song with someone, someone special, or just for a personal memory. I didn't know how enjoyable this part of music could be.",amazon
6/16/2013,I love Amazon music there is such a giant selection of all kind of music that will please any music lover,amazon
5/20/2016,I love that since I have a subscription I do not have to pay for most songs that are on prime I just add them to my song list. :),amazon
2/3/2016,"I would love to give it more but I have to honest it's not consistent. It takes time to upload or start up, and there is no ""smooth"" transition between songs. I like the ease of buying the music but it slow.",amazon
1/2/2015,"Love amazon prime music, as there are no commercials. Unlike those other music apps, this is my go to music app.",amazon
5/8/2016,"Love it! Easy to use and lots of great free music. I love Amazon prime and would have it if it didn't come with Amazon music, so this really sweetens the pot.",amazon
9/28/2015,"Love streaming my amazon prime music, no longer need my Sirius",amazon
11/21/2016,Love listening to all the great music Amazon has! So convenient when you are on the go all the time just to use the app for the hits you love!!,amazon
11/24/2015,Love the ability to try out music I wouldn't otherwise pay for. Expanding many taste in music.,amazon
6/30/2016,"great music, love the selections for any mood your in.",amazon
9/10/2017,Easy to use. Wide variety of music. I love this app!,amazon
1/12/2017,Love that I can access even more music now and all for such a good deal (especially with the student discount),amazon
4/19/2016,Pretty solid. I love the follow along lyrics feature on some of the songs,amazon
9/27/2016,Love this app! Being a prime member also has its benefits here too,amazon
7/22/2015,"I absolutely love the ease in which I can either choose my own music and makes playlists, or go to the different genres and choose from there. It makes it so easy to exercise or walk with, and yet I can relax and read to the music also. The different groups, such as amazon music for walking, update constantly, and I do not have to go to the web site to do it. Makes listening to the music fantastic. My only problem with this is that I can access movies while travelling outside of the US, but not the music, You have to download it. Hurry up and get the musical access also!",amazon
5/1/2016,Love amazon music. Wish all my favorites where there but my Lord tbe selection is awesome. Especially love the preset playlists tbey know bow to place the right groups and songs together.,amazon
5/8/2015,"*** It should be noted that I wrote this review before Amazon converted this app to the ""cloud player"" so even though this app has the same name as the current one, there may be significant changes in how it works now. ***
 
 You can search, listen to samples, and buy songs with this app. However, there are no user controllable settings and it gives VERY little information about the song or the album while shopping. You also must sync this to your amazon shopping account and enable one-click purchases to make it work.
 
 This is a very basic app, which is a good thing to some degree... that's what keeps it simple. I'm glad it's not trying to be everything under one roof. I don't want it to be a music player and do all sorts of other annoying stuff like iTunes does. However, it is so limited that it's hard to feel like it's easy to use because the limitations require other work-arounds.
 
 ~~~Shopping Experience:~~~
 
 When shopping for songs or albums, there's no description, reviews, or anything else other than the artist, title, and a date (which is not explained--is that the release date or what?).
 
 Being able to listen to song samples so easily is a very nice feature. It's quite easy to search for a song, quickly find it, and listen to a sample before buying. It's great if you're not sure what song you're lookaying for.
 
 There are some strange things about it though. For example, several songs and albums I searched for have two versions of the same song for two different prices. Songs from the same name, artist, and album sometimes show up as two separate listings for $.99 and $.89 with no explanation of the difference. Are they different bit rates or something? Different formats? With no explanation available and no extra detail about the song... who knows what you're getting.
 
 There seems to be no way to put songs in a cart and buy them all in a single purchase. You must activate one-click on your amazon account to use this app. I just started using it so I haven't seen the credit card bill yet, but the way this works makes it seem as though there's going to be a separate $.99 charge on the card for every individual song you buy. This seems a little tedious. I would love to buy several songs at once in a single transaction.
 
 It would also be nice to buy up a credit balance for the phone like a gift card so I could just purchase songs as I discover them and have the cost deducted from my balance without paying for each separately. I don't want to have to share that with my other amazon web shopping however, so I'm not sure if a traditional Amazon gift card would work. It's all pretty poorly explained. If I were going to use this app a lot I would be tempted to create a new amazon account specifically for this app so I wouldn't have to commingle settings with my web shopping.
 
 Also, there seems to be no way to retrieve previously-purchased songs later on if they get lost or deleted. It would be really nice if it would put the song in a queue to download next time you sign in from your computer so you can easily use it there too. Currently I copy them from my phone to the computer... so why not just buy them on the computer and copy them to the phone? That's not any harder or easier so it contributes to my point that while the app is easy in itself, it requires a bunch of extra work to get the full value out of your music purchase thereby negating the so-called convenience of the apps simplicity.
 
 ~~~App Experience:~~~
 
 Because there are no user controls, you can't specify what folder the songs get put into or where it is located. Neither of the music players on my phone are able to find the amazon mp3 folder on their own (even after refreshing the media list) and therefore are unable to show and play the new music. So I had to install a file manager app, and each time I buy a song I have to copy the it to my normal music folder.
 
 Finally, the documentation for this app sucks. Actually working the app itself is pretty easy and self-explanatory (mostly because it has no features other than searching for songs and pressing the buy button), but it requires a whole bunch of coordination with your amazon account and its settings and the implications of all the little things you do are not at all evident. Everything is very poorly explained, if at all. You have to fumble through all the steps until you figure things out on your own. Then for the few topics they offer help with, it's takes you to a web page for an explanation... but comically, it's not a mobile-friendly web page so you have to zoom in and scroll left and right to read the lines. Seriously? These are web pages written specifically relating to a mobile phone app, ostensibly to be read primarily on a mobile phone, yet they're not in a mobile friendly format. Big fail.
 
 ~~Summary:~~~
 
 As powerful a site as amazon.com is, I'm a little surprised at how incredibly basic this app is. The way it works now, I find it much easier to just buy the songs from the amazon web site with a computer, and transfer them to the phone manually. The only time I envision using this app is when I'm away from my computer and desperately want a song right away.",amazon
3/25/2011,Great stations to follow...tons of artists to save to your library! Love the suggestions based on your listening selections :),amazon
2/3/2016,"Love Amazon music. Doesn't work all the time, but is still worth it.",amazon
10/14/2016,Love to add the most of the music I want to hear....,amazon
1/7/2017,"All of our family favorite songs in one place, it works great and we love all the free music and games. Thank you Amazon!",amazon
4/30/2016,I LOVE this feature for Prime Members. I like that you can download all the songs you want and play them off line from your library.,amazon
1/4/2016,"I love the fact that you can access many different songs including playlists. What I don't like is that when you use the app and click on recently added, it doesn't sort by artist or album. I'm not sure how to accomplish this because it is not clear",amazon
6/19/2014,I love creating my own Playlist with such a wide variety of music. Keeps me going through a tough work day.,amazon
4/25/2016,Love having everything on listen to all in in area. Great music.,amazon
10/28/2016,"Love this app! When I purchase a lot of my music on CD, I most often get an auto download as well. Love that ability to access through phone or MacBookay Pro.",amazon
9/10/2015,Love this app so much! How can you live without this? There's so much music to explore. It's so wonderful. Get this now!,amazon
3/7/2016,"I didn't get Amazon Prime for Prime Music, but it is one of my favorite benefits of it. I love being able to listen to all types of music any time of the day.",amazon
9/4/2015,Love the fact that this app doesn't geo-restrict you to a certain region to listen to your favorite music unlike other competitors out there. Music selections could be improved however.,amazon
5/8/2015,I love it. I make me a play list and Bluetooth it to my speakers and I'm rocking.,amazon
8/12/2016,I love having to listen to what I prefer musically.,amazon
1/28/2017,Love the ad free music!,amazon
6/18/2017,Love all the songs I am able to hear again thank you Amazon,amazon
11/15/2016,I LOVE Amazon Prime & I haven't even had time to use it to the fullest.,amazon
9/24/2016,"love it. use it everyday. love that I can upload my own music, mix it with Prime music, and make playlists from both.",amazon
3/4/2016,love prime music,amazon
8/21/2015,"I love this its way better than Pandora or anything else and best its free. I loved making my own playlist, its better than ITunes or anything else. Best of all in the car, no commercials or anything else like that. Make your own playlist and have a great time listening and accessing multiple albums.",amazon
8/1/2015,So far I love it! I'm using it to assist my running routine. I love how I can download music to my device so I don't have to use my data! Love it!,amazon
10/26/2015,I love that I can download free music to my phone to listen to without using my data,amazon
7/25/2016,"I love the fact that don't have interruption, Like comercials.",amazon
7/23/2015,Love it! Many stations to choice from. I also like the recommendations when you search or play I specific artist or album.,amazon
2/4/2016,"OH MY GOD take that itunes!!! I love this!!! All the stuff I wanna hear, most free, in Playlists I made, commercial free!!! Yipppeeee",amazon
1/13/2016,"Excellent , I love it",amazon
5/23/2017,Great sound quality but limited choice. Definitely love offline mode with prime...great for travel. Great extra prime benefit for sure.,amazon
12/7/2015,"I love my music, I love having prime music with Amazon, and I love this player! It is easy the use, easy to make playlist and very easy to add and delete songs from. Thank you Amazon for very nice app.",amazon
2/2/2015,"how can we not love yet another free bonus from Amazon Prime? Sure there is some limitation to what music is available free, but then again, what IS available is FREE! Loved the Prime shipping discounts already- this is the icing on the cake.",amazon
7/15/2014,"I love this, the only critique I have is that theyes need more music! There are a few artists that u couldn't find.",amazon
