Negative,Just freezes,pandora
Negative,It shuts its self off to much.,pandora
Negative,Don't know they would not except my account.,pandora
Negative,Does not work 95% of the time on my Kindle fire. I have only gotten it to work twice for part of a song. Uninstalled. Works great on my phone .,pandora
Negative,"Fair, not very user friendly",pandora
Negative,"Not a purchase, but an app that I use regularly. Thank you for the service.",pandora
Negative,Love Pandora. Wish that you could skip more songs when you want to though.,pandora
Negative,"A very sophisticated way to listen to music. We can choose a style, a composer or a singer and listen at our own leisure. We can even assign thumbs up or down to the songs we want to listen more or less often. I loved the possibility to read the lyrics of each song or information about the singer, performer or composer. This is a must!",pandora
Negative,"It didn't load automatically to my Kindle like I thought it would. I've spent over 2 hours trying to get it to work, including watching youtube videos and still can't get it on my apps.",pandora
Negative,"why are a lot of songs cut off short,if all of the songs played all the way thru I would give it 5 stares I love it except for that problem",pandora
Negative,It never let me sign in on my kindle fire??,pandora
Negative,Disappointed because I haven't been able to listen to any songs yet on this app. Not sure if I am doing something wrong. Would appreciate some feedback on this,pandora
Negative,if i could give 0 stars. i would . i could not get it to work at all.,pandora
Negative,"I don't like that it doesn't let you skip more than one or two songs in an hour of listening. considering that you're not getting ONLY the artist whose music you selected, they should let you pass on more of the ""selections"" they feature.",pandora
Negative,Didn't work while traveling,pandora
Negative,I think it's a great app. It's all you would want but I personally would like more thumb downs available . But if you are looking for an app to personalize your own stations and optional privacy it's great. Check it's so good I'm listening to it while I'm typing!!!!,pandora
Negative,Does not work on Amazon fire tablet,pandora
Negative,"Not worth the money! You spend too much time selecting/deselecting tunes that you either like/dislike! Time-consuming. The programming does not follow the music interest I select. However, you may find it a better buy, I certainly didn't!",pandora
Negative,I can't get it to play on my Kindle,pandora
Negative,Hate all the ads,pandora
Negative,I could NOT MAKE IT WORK AT ALL on my Kindle device. I have it on several other devices - no problems. I've already deleted it,pandora
Negative,Will not let me login. Keeps saying there is a problem,pandora
Negative,It cuts off too much,pandora
Negative,not cheap enough,pandora
Negative,spotify is way better for daily use less commercials,pandora
Negative,It's never worked right always timed out,pandora
Positive,Love getting my music on all devices.,pandora
Positive,Love Pandora!! Can listen to my music on any device and in even in my car or on TV with DirectTV!,pandora
Positive,I love the music line up.,pandora
Positive,I can change ambiance with a click to shuffle -- change mood at a click of a button. Love it!,pandora
Positive,"I love Pandora and all the available material they share with listeners...being able to tailor make your own platforms for your preferences is beyong anything most music lovers would require. If you love music this is the site, especially with the option to get rid of the commercials...I highly reccomend this site",pandora
Positive,Great app for students to use in the classroom when they earn Positive breaks. I made a teacher login and made appropriate stations for the kids to listen too.,pandora
