"Date","Review"
"January 2, 2015","great"
"December 7, 2014","Great!!!!!"
"April 28, 2017","I've discovered music from my favorite musicians I hadn't heard before!"
"November 10, 2014","I like this app"
"February 22, 2015","Whether you listen to loads of music a day, or just a song, you need Spotify. Almost every artist with every song is available on there. You start out with a playlist, My Songs, but you can make more to categorize your favorite songs. You can even follow artists that you like and get info on them, plus find out when they release more songs! I got this on my kindle so I wouldn't have to 're-purchase all the songs on my phone, and I couldn't be happier!"
"December 6, 2014","Such music"
"November 10, 2014","This is awesome"
"October 19, 2014","THE BEST MUSIC APP!"
"October 19, 2014","Spotify is the best"
"August 21, 2014","Great App- Premium is awesome."
"December 10, 2014","Love it!!"
"December 10, 2014","Excelente"
"October 24, 2014","Great !!!! LOVE IT"
"October 2, 2014","Loveeeeeeeeeeeeee this"
"November 29, 2014","Great music"
"December 4, 2014","awsome app"
"November 18, 2014","Awesome ....."
"January 4, 2015","good"
"October 1, 2014","Nice app for all music"
"November 7, 2014","Very good mixes"
"December 2, 2014","Very nice."
"December 28, 2014","Great"
"November 26, 2014","easy to use"
"November 20, 2014","Does its job"
"August 2, 2014","Just love this app Numer one"
"November 15, 2014","I love this ."
"December 11, 2014","Awesome!"
"December 11, 2014","The best"
"December 26, 2014","Great"
"November 19, 2014","It's great:)"
"November 14, 2014","gotta have it"
"September 22, 2014","So dope  Cody"
"July 30, 2014","Awesome brings back old memories."
"November 8, 2014","Love this app!"
"September 11, 2014","Better than others so far"
"December 25, 2014","GREAT"
"December 9, 2014","Perfect!"
"November 13, 2014","Yeah bitches!"
"December 24, 2014","GREAT"
"February 16, 2017","Best music app available!!!!!"
"August 29, 2014","Like a jukebox for free! :)"
"October 16, 2014","Worth the download"
"August 29, 2014","I ABSOLUTELY LOVE THIS SITE"
"September 8, 2014","Great app love everything"
"November 16, 2014","It's awesome"
"November 26, 2014","Excelente."
"September 13, 2014","I enjoy the music albums"
"November 26, 2014","It's great"
"September 18, 2014","Awesome app for music!!"
"December 1, 2014","Excellent"
"August 17, 2014","Very cool. Enjoy it very much"
"December 27, 2014","Good"
"December 9, 2015","My bejeezes, this is awesome! I never listened to music beyond my single Coldplay album until this. Now I listen to a variation of music. What I love too, is it helps you find music you like, and it has most every song you can think of. It also has a bunch of different music indie, dubstep, metal, rock, rap, emo, pop, Mozart, alternative (my favorite), and more! In a nutshell, if you like music but don't want to spend your money on discs and other things like that, you'll love this. Best thing is it's free! All you need is an internet.connection."
"February 18, 2016","I love Spotify! It is the gateway to all things music. You are able to listen to all you favorites, make playlists, and brows music you would have never found without Spotify. I like to use the menu on a song to start a radio station around that song, then use the thumbs up or thumbs down to personalize the sounds I like. I love being able to download certain songs/playlist/ albums in order to use the offline mode that doesn't take any data from my limited plan. I highly recommend this to anyone who wants all your music in one place."
"December 5, 2014","The Best"
"November 30, 2014","Wonderful"
"October 19, 2014","Ir's marvelous!!!"
"September 21, 2014","Great, no complaints !"
"August 24, 2014","Better than the compatition"
"July 17, 2014","Love it! Much better than Pandora!"
"September 30, 2014","Great app. I love it"
"August 12, 2014","Very good radio i lke so much"
"December 2, 2014","Love it!"
"December 2, 2014","Love it."
"October 10, 2014","<3<3<3"
"October 26, 2014","I love this app"
"September 13, 2014","The best music app evar"
"October 15, 2014","awsumness rawr :P"
"November 3, 2014","Love this app"
"October 3, 2014","I enjoy it everyday"
"September 11, 2014","Works great on fire hdx"
"November 13, 2014","It is great"
"August 31, 2014","Works good love the app.."
"February 3, 2017","Everything I wanted it to be."
"November 8, 2014","Awesome app!"
"December 14, 2014","Great"
"October 17, 2014","A fantastic app!"
"November 7, 2014","Great app!!!"
"November 17, 2014","Love it!!!"
"September 14, 2014","It makes me happy. =)"
"September 30, 2014","It's good fantastic"
"December 2, 2014","Love it"
"July 27, 2014","Love it. All my favorite music."
"December 17, 2014","s ok"
"October 31, 2014","just sorta ok"
"December 11, 2014","great"
"November 25, 2014","Love it!"
"June 23, 2014","Spotify is awesome! My husband and I both have it and love it. Easy to use! Love that you can listen to your playlists offline with the paid version. Highly recommend."
"December 10, 2014","Great"
"August 31, 2014","Really enjoying this app"
"September 11, 2014","Easy to use on Kindle!"
"September 11, 2014","It is a great service."
"August 26, 2014","Love it, .... no problems"
"November 17, 2014","It's okay"
"October 27, 2014","Truly love it"
"October 27, 2014","Love this app"
"November 11, 2014","It's great"
"September 3, 2014","Great music selections."
"November 21, 2014","Love it!"
"July 31, 2014","Easy way to reach your music!"
"March 27, 2016","I'm 65 yrs. old and have listened to spotify since its inception.So much for the misconceptions of people who believe themselves to be in the know.The sad part of life at this stage is not being able to go hear Electric Six and not appearing to be lost or looking for my daughter/grand daughter.I used to just BS younger people that I was in the recording business but even that became too much of a front to project.Anyway.musical knowledge is something you either have or you don't,That much I can state with confidence."
"November 20, 2014","Greatest"
"September 1, 2014","Awesome but commercials"
"August 21, 2014","This music app is cool!!!"
"September 11, 2014","Awesome. Easy to use."
"September 27, 2014","Cool on line radio"
"July 7, 2014","better than all others I've tried"
"September 16, 2014","A really awesome app"
"August 3, 2014","Awesome better than expected"
"November 7, 2014","Excelente."
"October 27, 2014","Good times!!"
"November 1, 2014","WOW!!!!!!!!"
"June 15, 2016","I recommend this to all music fanatics! I use this to listen to Twenty-One Piløts and to follow the top charts for music.  IF you are debating whether or not to get this, I would say go ahead and try it. For the summer you can get Spotify premium for 99cents. Get this app!!"
"September 24, 2014","I love this app !!"
"September 29, 2014","Enjoying. Prince."
"August 1, 2014","The best app to enjoy music."
"November 15, 2014","The best"
"December 6, 2014","Yes."
"October 20, 2014","At its finest"
"November 29, 2014","GREAT"
"December 4, 2014","good"
"September 26, 2014","The chikin so gud"
"September 15, 2014","This app is amazing"
"October 12, 2014","Nice and easy."
"October 28, 2014","Great rock from 60's + 70's."
"October 10, 2014","love love love"
"October 19, 2014","Okay, I love this app. With all of my heart and soul, but there is some things that could be different. For example, when I'm trying to add a mass amount of songs to a playlist, it's very time consuming. Maybe you could add a select button so that we could select many songs at once, and then it would be easier to add to playlists. Another thing you could add, is making it so you could see how many songs you have all together, and not just in the playlists  Thanks"
"October 25, 2014","its awesome"
"September 7, 2014","This is a great app!"
"November 9, 2014","Great!!!"
"September 12, 2014","Best music app ever"
"October 8, 2014","This app rocks"
"August 20, 2014","I really like spotify!!"
"November 29, 2014","Nice"
"September 10, 2014","Completely worth it"
"November 13, 2014","Awesome"
"November 13, 2014","Love it"
"October 1, 2014","Best music ever"
"September 4, 2014","Best of the business"
"October 11, 2014","Love this!!!!"
"October 27, 2014","Good music"
"March 1, 2017","So cool and useful when your bored or at a party with sucky jams"
"August 2, 2014","Love this app. Great music"
"November 1, 2014","I love it"
"October 21, 2014","Excellent!!"
"September 24, 2014","freaking awesome"
"September 29, 2014","This is amazing"
"November 5, 2014","Good App"
"October 4, 2014","Best music app"
"October 4, 2014","Excellent app."
"August 22, 2014","Best music app yet !!!"
"November 10, 2014","Love it"
"November 4, 2014","Nice app"
"November 3, 2014","Love it!"
"October 23, 2014","Excellent!"
"November 18, 2014","Great"
"October 17, 2014","Works great."
"September 13, 2014","it is a good apps"
"November 10, 2014","luv it"
"October 31, 2014","love it!"
"September 12, 2014","Greatest app ever"
"October 25, 2014","Excellent"
"August 16, 2014","The best music site !!"
"October 18, 2014","Good stuff"
"September 22, 2014","Pretty good man"
"November 13, 2014","great"
"September 21, 2014","I love this app"
"September 21, 2014","Really enjoy it"
"December 25, 2016","Junk!"
"October 28, 2014","Excelent"
"September 12, 2014","Great music selection and very User friendly. I would like the option to purchase premium, though. Also, great pre-made playlists with minimal advertising."
"September 17, 2014","I absolutely LOVE this app!!!"
"September 20, 2014","Love it so much"
"October 27, 2014","Awesome!"
"October 16, 2014","Good stuff"
"August 1, 2014","Love, love, love it! :)"
"October 21, 2014","Good spot"
"August 1, 2014","Good place for new music"
"September 18, 2014","Great music app"
"December 22, 2014","I am absolutely IN LOVE with this spotify!!! I recently changed from Pandora to spotify and am so happy I made the switch!! With spotify you can create playlists of songs YOU want to hear! And with only a couple dollars you can listen to your music offline as well. When you first create your account you get a month of free skips and other premium features. Or join near the holidays and get a SEASON of premium music.You can browse other people's created playlists and listen to new music fast. I listen to spotify literally ALL DAY and recommend it to everyone. Definitely a five star app."
"October 14, 2014","Love it..."
"September 12, 2014","My favorite app!"
"October 8, 2014","Pretty good"
"October 29, 2014","Awesome"
"July 30, 2014","Simply an excellent app."
"October 29, 2014","Love it"
"August 25, 2014","Better than Pandora"
"September 16, 2014","Very convenient"
"September 26, 2014","Yes. Amazing."
"October 23, 2014","Love it!"
"December 4, 2015","I really like the options on spotify but I constantly have issues with it freezing or stop working. I can hardly use it, it is hit or miss. I really believe in the company but if they don't correct this, then they will fail. I have used it on several different internet connections and had the same issue."
"August 3, 2014","Great App!! Good music!"
"November 12, 2014","Good"
"September 3, 2014","I love the variety of music!!"
"October 21, 2014","Love it!"
"January 17, 2016","I love this app so much it's super easy to use for the most part they have all songs your looking for I think I only had trouble once finding a song other then that I like that you can make your own at list and that you can save albums from the artist you love I recently saved all lana del Rey's albums as well as panic at the disco for free so now I can listen to them anytime the only thing is if you wanna download songs to your device you need to get the premium package I don't have it and I still use everything just fine"
"July 3, 2014","I love this app. Which is why I'm creating a pro's and con's list for this app.  Pro's: · You can listen to tons of great music on the go.  · You can listen to whatever music you want.  · You can create your own playlists.  · You can folow your favorite singers.  · You get to customize your experience and profile.  · The music you listen to can stay private if you want or not if you want to share your picks with the Spotify world  Con's: I haven't found any! But I will try to keep you informed if I find any."
"September 2, 2014","luv it a lot"
"September 2, 2014","Love it! Awesome."
"August 22, 2014","Tons of great music"
"September 23, 2014","Spotify rocks"
"October 25, 2014","Awesome"
"September 23, 2014","Uuu yes 99,6%"
"October 25, 2014","Love it"
"September 11, 2014","Simply the best"
"September 6, 2014","Love it so far!!"
"September 27, 2014","It's amazing"
"August 3, 2014","Love it play fantastic"
"October 16, 2014","amazing!"
"September 14, 2014","Love this app!"
"October 11, 2014","great app"
"November 10, 2014","Gr8"
"August 17, 2014","better than pandora"
"September 2, 2014","Great selections"
"October 4, 2014","Excellent!"
"September 12, 2014","Awesome music"
"October 9, 2014","Excelent!"
"October 19, 2014","Awesome"
"September 28, 2014","Easy to use"
"August 26, 2014","It's amazeballs!!"
"August 25, 2014","A great music app"
"September 15, 2014","It is awesome"
"August 14, 2014","Awesome app love it"
"September 9, 2014","Great app!!!!!"
"October 21, 2014","Great!"
"November 1, 2014","Good"
"August 23, 2014","Awesome! Love it."
"September 19, 2014","I love it!!!"
"September 2, 2014","I LOVE IT!!!!!!"
"September 18, 2014","Great App!!!"
"September 23, 2014","SUPER!!!!!#"
"September 1, 2014","this is amazing"
"August 27, 2014","Amazing 😍😍😍😍"
"July 8, 2014","Very easy to work with!!!"
"October 13, 2014","Awesome"
"October 7, 2014","No words"
"September 26, 2014","Love it!😁"
"August 2, 2014","Best music app ever!"
"October 27, 2014","Okay"
"September 19, 2014","Loving this"
"October 25, 2014","Cool"
"September 12, 2014","Pretty sweet"
"September 22, 2014","I loved it"
"October 24, 2014","Nice"
"August 3, 2014","Love e Spotify!!!!!"
"September 10, 2014","The best !!!"
"July 12, 2014","Both apps are fantastic"
"September 15, 2014","Great app!!"
"July 17, 2014","Spotify is the best,,,"
"September 25, 2014","Great app"
"July 9, 2014","ITS great no complaints"
"September 17, 2014","Prefect!!!"
"August 20, 2014","THIS IS THE APP"
"October 2, 2014","5 stars"
"August 25, 2014","I love spotify"
"August 25, 2014","Love love love"
"August 12, 2014","Love. This. App!"
"August 12, 2014","LOVE SPOTIFY!!!!"
"September 13, 2014","Love it!!!"
"September 13, 2014","I LOVE IT!"
"September 2, 2014","So worth it!"
"July 24, 2014","Great updated tunes"
"September 21, 2014","love it!"
"September 9, 2014","use it fun"
"October 6, 2014","great"
"September 3, 2014","Great App!!"
"September 8, 2014","Awesome..."
"September 19, 2014","Love it!"
"September 13, 2014","Very nice"
"September 2, 2014","Always good"
"September 2, 2014","Super duper"
"September 1, 2014","Great App!!"
"September 12, 2014","Very good"
"August 21, 2014","Just is great"
"August 25, 2014","Works great!"
"August 14, 2014","Fantastic app!"
"September 9, 2015","It was perfect .... before the update.  Before: You could select whatever song you WANTED to play without having to put shuffle play and either wait for it to play or keep skipping until you get the song. (Though if you kept skipping chances are that you get an advertisement) Also, you were able to see the songs that were coming on next.  After (now): You cannot select whatever song you want to play. Which REALLY sucks. I always loved Spotify on kindle because you could pick a song. Now you can't put songs on queue or see what songs are going to play next. I always liked looking at the songs coming on next.  The update was just today. (9/9/15)   I feel so upset.  *The only thing that kept the same THANKFULLY is the ability to replay ONE song over and over again.  I want to kinda give up Spotify and just have Pandora since Spotify isn't very useful and takes up sooo much space. But I have some very good playlists.  I'm so very unhappy. I understand why they might have done that however I can't afford premium. It's not worth it. ):"
"October 1, 2014","Great"
"November 22, 2016","Some covers the artists, like nightcore, are not on there and some of the songs are not available unless you pay for premium. Lots of ads, but there are also times where you can get up to a half hour of ad free music. They don't have actual radio stations either. You can make playlists and while not all the music is available, there is a wide variety. You need a decent WiFi connection or it won't work that well. Searches are kind of irritating because you look up a song and it shows cds, artists, and songs with related or same words. It also doesn't have the option to delete/deactivate your account. Overall, it is only great if you spend money to buy premium, but is a decent source of music if you have WiFi."
"August 13, 2014","This is great."
"August 12, 2014","Love this app!"
"August 12, 2014","great product."
"September 2, 2014","I love iht"
"July 4, 2014","Not many commercials!"
"September 13, 2014","Awesome!"
"September 18, 2014","Love it"
"September 2, 2014","Excelente."
"September 6, 2014","I love it"
"August 26, 2014","great app!!"
"July 26, 2014","Spotify is great"
"July 31, 2014","My son loves it"
"September 23, 2014","Great"
"August 26, 2014","I like it."
"August 4, 2014","Love this app!"
"August 4, 2014","very very good"
"December 25, 2016","Spotify I feel is the best music app period. 1 being is that your not stuck having to listen to already programmed stations or set music/song lists. You can actually download full albums of literally who or whatever pops in your mind, and not just stuck to others options for music. I mean let's face it, were all different and Spotify definitely enforces that right to hear, listen, share and dance to any genre of music you or others are feeling at the moment. Another cool feature Spotify offers with having a premium account is another plan, such as the Family Plan. Yet again Spotify has personalized in so many ways to fit each person with there own individual preferences! Boom!"
"August 25, 2014","Great app!"
"August 14, 2014","It's amazing"
"October 1, 2016","Best place to listen to music and find new artists. Worth the download in my opinion I even traded in my other music apps for just this one."
"September 4, 2014","LOVE IT!"
"August 23, 2014","Love it..."
"September 13, 2014","Awsome"
"August 27, 2014","Love it!!"
"August 11, 2014","It's awesome"
"September 6, 2014","Awesome"
"September 5, 2014","Love it"
"August 13, 2014","Great music"
"August 18, 2014","I LOVE IT!"
"August 7, 2014","Awesome app."
"September 2, 2014","Awesome"
"September 2, 2014","Awesome"
"August 11, 2014","Excellent!!"
"July 14, 2015","I have not had a very good experience so far, though I do like the theoretical convenience of music at your fingertips. I did not find the interface intuitive or easy to use: Like most things on the Internet, it is easy once you know how to do it. I found that it was playing random things not even closely related to what I was selecting. I am certainly not ready to sign up for the paid subscription yet."
"September 14, 2014","I absolutely.love it.."
"August 21, 2014","good app."
"July 24, 2014","I don't get i5"
"March 11, 2016","I like the app, but the three dot option button is way to close to the playlist scrollbar. So when I want to remove a song from a playlist, the app thinks I'm trying to scroll to a different place in the list. Please fix this Spotify!!!  Other than that the app is ok. I do strongly recommend that there should always be clean versions of all content instead of just some. on iTunes, the user can pick to see Clean or Explicit versions of songs. They should have this on Spotify too. Or maybe they could just have a clean versions alongside the explicit version.  Also there should be an alarm clock feature. If there already us it should be easier to find. If there is not, please add it! Thanks Spotify!"
"August 7, 2014","Awesome app"
"August 1, 2014","Easy to use!"
"September 18, 2014","Great choices"
"October 30, 2015","Okay so I have had this for a little over a year and absolutely loved it until just yesterday... WTH happened??? I can't play my play list with out it being on shuffle, that's not cool... I like too pick my songs not have them picked for me that's why I liked this music app UN like Pandora... Am disappointed. This is still the best music app I have found but not happy with the update..."
"July 28, 2014","Works great."
"August 3, 2014","Easy to use"
"August 11, 2014","very good"
"August 10, 2014","I love it"
"August 21, 2014","Awesome"
"September 5, 2014","Nice"
"August 14, 2014","Good app"
"September 30, 2017","Tedious. The amount of navigation sucks. Need to make smaller icons. Song list is beyond stupid, in the way it requires endless sscrolling to find your song in the hundreds listed. No filter or sort or group. No favorites, no recently played, no playlists. Its really bad."
"July 28, 2014","Great music"
"September 1, 2014","Nice"
"July 30, 2014","Love it!!!"
"August 17, 2014","great."
"June 18, 2014","This application is very user friendly and has tremendous variety of music for all tastes. Have only tried free version may give premium version a try later"
"July 22, 2014","Great! !!!"
"July 30, 2014","Love it."
"November 1, 2016","Love it💖💗💘💝💞💟👍💓💜💛💚💙💝💘❤💋💗👅💖👄💕💔👣 I love this app because you came pick any music that you whont on it and no adds Don't let the bad review get to you because you mite like this app. It all so bus not cost money   I think that you should get to too!!!👣💝👋💔💙👉💕💚✋👄💛🎉💖💜🎇👅💓💗👍🐕💋💟👭❤💘🎨👽👣💔👄💕✊👅💖✌💋💗✋❤💘👊💙💝☝💚💞 💛💟👇💜👍👈💓👋😽😿😾🙈🙊😻😹😸😼😺🙏🙎😜😝😘😍💞💞💞💞💞💞💞💞."
"August 28, 2014","I love it!"
"July 20, 2014","Great app"
"August 15, 2014","Like"
"July 7, 2014","It's great."
"July 12, 2014","Great app!"
"October 30, 2016","The choice of music and sheer availability even if you haven't purchased anything is insane... my awesome. Chose this for instant music gratification."
"July 10, 2014","great app!"
"July 3, 2014","Pretty good"
"July 13, 2014","I love it"
"July 23, 2016","Definitely has become my favorite app. I like all kinds of music, but I would have to say jazz is my favorite genre. I am amazed at how many artists and bands I have been introduced to via Spotify. I love the ""related artists"" sections provided, that let's me explore even more bands I just hope I have enough time, left here on earth, to hear it all. Also having the ability to play your music on pretty much any device you can think of is great. Keep up the good work. Worth every penny of my subscription."
"July 12, 2014","Flawless,"
"July 11, 2014","I love it"
"July 10, 2014","great app"
"November 28, 2015","I personally am not able to buy many songs, and when I do I get bored of them within a week. This app completely revolutionized listening to music for me. I can follow playlists of certain music groups to expand my library, save songs that I love, and follow artists to get notifications about new releases. One of the newer features, looking for upcoming concerts, is one of my favorites. I used to be so out of touch with who is coming where, and now I have easy access! Definitely recommend this app."
"July 10, 2014","New great"
"June 24, 2014","I love Spotify! The premium is so much better but a bit expensive. I highly recommend this as a music source for PC, Tablet and phone."
"July 14, 2014","Good app"
"July 16, 2014","Awesome"
"July 9, 2014","love ity"
"July 4, 2014","I love it"
"July 24, 2014","Good."
"December 20, 2015","This app is amazing. I mean u can get free music, make a playlist, and search for ANY song! Btw... if and when u do get the app, it might ask if u want to start a free 7 day trial to listen to songs anywhere, anytime... this trial is truly free and does goes through all 7 days. U DO need Wi-Fi for the app to work.. but when u are connected it works perfectly. I'd give this app 100 (or more) if possible anyways...all in all.... this app is amazing for anything. That's why I give this 5 stars."
"March 22, 2016","I think they could do better. They should give us a month a free music before we decide.😕 Why get something without nowing if it is worth it. It say it takes no internet and WiFi but they lied unless you pay for it. I like the songs on Spotify. They are a good website. I will not lie about that. And we should not have to sign up and you should not have to be a sertine age. That is just meen to like kids.😫 Why"
"July 8, 2014","5 STARS"
"June 12, 2017","Terrible user interface. I try to play a song on my phone, but it plays on my Alexa upstairs (apparently it plays on whatever device you last played it on). Want to clear your song queue? No can do. Have to set up a playlist with only one song, and then play that. I only switched to spotify because I got a deal with the New York Times, but, boy, do I miss Napster."
"April 6, 2017","Ease of use great library"
"September 2, 2015","Did take me a little time to figure out product. Smooth transition from Pandora. Although I enjoy both music sources I had an unlimited ""selection change / skip"" that Pandora Limits. Enjoyed the ability to select Singles from albums. Worth the Membership. Keep your Pandora for hands free listening, Try Spotify to share Music files, or creating Videos."
"March 10, 2017","I have enjoyed listening to Spotfiy music. I listen to it day and night. Everyone should listen and sing along."
"July 4, 2014","Great"
"January 26, 2016","Spotify if you're familiar with &#34;Americas top 40 hits&#34; u can keep up easily with pop songs, it's perfect for that. Also great for relaxed order of songs and if you're ok with limits to skips. I myself have grown tired of pop songs and needed more remixes and smaller songs that never find their way to the top 40. In summary, Compared to apps like rdio and Pandora it's a big one up for pop songs, but if you're after smaller artists sound cloud is the way to go."
"August 12, 2017","The app would not work on my Samsung S6 edge +.It loaded with no problem but when I tried to start it it gave me an internal error and wouldn't run. I would like to use it but can't."
"September 10, 2015","This app was probably the best music app until their new update. Before I had probably around one thousand songs and could listen to any of them in whatever order I wanted to, but because of the update you can't take shuffle, play more than one song at a time, or skip songs without buying premium. This is incredibly inconvenient, and there are some songs I simply can't play anymore. Now if you want to play a song you have to set it on shuffle, so it chooses a random song (usually not the one I want) and stays on the song until I get frustrated and try to play another song from another album. If you get this app then I would buy premium because it is a good app; it's just a crappy update."
"November 30, 2015","Well, my friend had this app for a little while on her IPhone, and she LOVED it. Sometimes she used it without wifi, and it ate up all of her data. I have a kindle, and it's either me or it makes everything else.... slow. I'm worried it'll use up my data too. Besides that, it's pretty great. So...... overall, I recommend it for extreme music lovers who only want THEIR music played. The ability to create your own playlist (for free) with any music is my kind of heaven. Thank you Spotify!"
"August 7, 2014","It works really well when u have a book and u like music and like me I like all the music that I listen too"
"April 1, 2017","Its an amazing music app but its new upgrade has made it hard for my to even add songs to my playlists! I tried uninstalling and reinstalling the app but nothing helped! Please bring this to your attention and fix this huge bug"
"December 20, 2015","I said I s okay because at first when I got I was so happy because now I could listen to music which is my favorite thing to do so I downloaded it to my iPhone but when I clicked a song it would play another song and I found that very anoyoing and once I was going to show one of my friends a song but it played another very inappropriate song and I tryed to quickly turn it of however when I use spotifiy on my iPad it always plays the song that I want to hear it always plays that song but then there's an add for the premium and it would all of a sudden glitch now I don't know if its my only my iPhone or its spotifiy but it is so frickin annoying"
"June 25, 2016","Putting aside the whole ethical debate over artist's royalties+spotify, this app is great. Easy to use and everything comes in crystal clear; it turns my kindle into a jukebox at parties and get-togethers. It even has a great selection of some of the more obscure songs and albums that are next-to-impossible to get physical copies of. Again, judging the app, not the ""musician vs spotify"" debate. That said, definitely recommended!"
"August 20, 2016","Spotify has replaced my iTunes.  Now, some people may think that paying monthly for a music service is pointless, however, there are benefits to this service.  Not only do you get the benefits of skipping as many songs as you want, you are able to control all the music as if it were your ipod/mp3 player. The ability to search for a song you just heard on the radio and add it to your song library at that very moment is awesome. If you keep up with new music and have an extensive love for music this will be worth it.  If you're already purchasing and download more than 10+ songs a month you'll save money with this service."
"June 4, 2016","I honestly love this application so much. In my opinion, it's the best one out there. Although there are a few artists and songs that I can't find on this platform, on the whole it's easy to create playlists, follow your favorite artists, and stream music. Amazing for any music lover."
"September 14, 2015","I really like the idea, and I have a wonderful playlist of songs I like, but there is so much repetition and so many of my songs never get played. A little frustrating."
"August 5, 2016","You can find just about any song that you can imagine. Rock, rap, metal, edm, it's all here. Great loading times on the kindle. Just a few ads for non premium users, but it's more than worth it for freedom in your music. A must download for any human that likes music."
"July 22, 2016","Spotify is easy to use and works great when you do not have an FM tuner chip in your phone. I have the Samsung Galaxy S4 and of course I would own the one without the FM tuner chip so radio apps will not work I like this because I can play an artist, genre or a decade!"
"September 14, 2015","Will not let you choose what song you want to play. For a little while it will let you get addicted to it, but after that it takes those privileges away. It makes you put it on shuffle and makes you wait for the song you want to come on. Spotify will not even let you listen to just that album, it will insert &#34;suggested&#34; songs every other song. Unless you pay 10.00 a month, Spotify is not much better than Pandora. Spotify will also sometimes get stuck on an add and you will have to shut down your device to restart Spotify and continue to play music. In summary it is just as worth it to get the free version of Pandora as the free version of Spotify."
"July 24, 2015","Spotify is my favorite streaming service for music and prefer this over Pandora any day, you can listen to full albums (heck, even complete discographies if you feel so inclined to!) from all your favorite artists / bands!  If you buy the Spotify Premium Service, you're able to listen to your music - commercial free."
"November 12, 2016","I've used a lot of music apps over the years but I've never found one as great as Spotify and I loved the app so much I even upgraded to the Student Premium which is even better. And for $4.99 a month you can't beat the price or the quality."
"October 2, 2016","Best music app I have ever gotten better than I heart radio"
"October 31, 2015","I used to love Spotify so much. It was basically the best and probably one of the most used music app. Lately I noticed that there have been a lot of updates of the app. Now who wouldn't love New updates to one of their favorite app?  Now I can't skip songs more than 5 times in a row, if I want to I have to upgrade to premium. I guess a lot of people aren't upgrading to premium, so now they are making less and less features of the app available for free. Now I don't mind listening to ads, and trust me they do play along of ads back to back after listening to about 5-6 songs."
"October 5, 2017","Great hit on songs"
"December 9, 2016","I can always find music I enjoy! Thanks!"
"October 29, 2016","gives new music, albums, and singles. Love it. Hate the Mobile version though that's the only thing."
"May 21, 2016","I have been looking for a updated music app which wan't glitchy or not official. (So far) there is no better application to listen to music on. I highly recommend Spotify. It is MUCH better than other musical apps because it has all the music you could ever want. Including letting you make endless amounts of playlists (which I personally LOVE). If you are looking for a good app to play music on, then download this application."
"September 14, 2016","I used to be an avid fan of keeping recordings in my collections. I was constantly finding songs I wanted either they didn't have it available or you had to buy an entire album just to get one song. 99c to $1.29 adds up quick when you build up a collection. For this rate a month I don't need to keep all the overhead and I stream a lot. Only been twice I couldn't find something on Spotify. I wouldn't be surprised if you couldn't find it anywhere else either. They got pretty much everything ever recorded. You can stremit any tie you want and it's made more portable than carrying around CD's and ruining them or losing them."
"July 18, 2016","We were motivated to update our online library when we got our Echo, because songs from our library are available on request with the device. Unfortunately, it appears that there is no way to upload data from an audio CD (from our physical home library). It may be that there is a way to do this, but we were unable to figure out how to do so. In iTunes, it is simply a matter of inserting an audio CD while the application is running. In addition, there is evidently a 250 song limit on the number of songs you can upload into the Spotify cloud database, unless you are willing to pay ten bucks a month to upgrade the service."
"May 11, 2016","It is actually very useful for listening to music and podcasts. The thing is, although it has many songs you might not always find the song you're looking for. Yet, the format is very neat, organized, and easy to use. But, once again, there is a little problem that I have experienced. Every once and awhile, I will be listening to music, with my volume turned up and my headphones on, but there won't be any sound. It will say that the song is playing, but you can't here it. This has caused me to have to delete and redownload the app many times. Nevertheless, this is a very good app, and hopefully you won't have any glitches."
"April 3, 2016","Bc it's the best in the world you can play music off line it's awesome"
"March 7, 2016","Was a Rhapsody customer for years but the playback experience would only get worse & worse until the point of being unbearable when it wouldn't even playback my downloaded songs so I looked for a replacement & came across Spotify when introduced through Sprint and have never looked back. Far superior product, zero playback issues & they had AC/DC songs which Rhapsody did not. How do you not have one of the greatest rock bands of all time??"
"February 17, 2016","Awesome app. I like the fact that you can search by artist and get JUST that artist, instead of getting a weird mix of music and wondering how in the hell THAT song made it in there. Also, the genre specific radio stations give a wide variety of artists, in case you're wanting to just have it on while you're working or working out. Just have the free version, thinking about upgrading to the premium to see what all the hub bub's about."
"March 2, 2017","I love it❤❤"
"April 1, 2017","Love this app the best thing I ever found that's free ☺"
"December 5, 2015","My 7-day free trial ended. Once your trial ends, Spotify stinks. When you go to your playlists or radio stations they start playing random stuff! For example: I was on Ariana Grande radio and they started playing Timbaland and Nelly Furtado! You should stick with Pandora."
"November 30, 2015","I started out with this app a few months ago. It was the best one I had so far. Soon after I got it though, they updated it to where only &#34;premium subscribers&#34; could listen to any song they want without having to shuffle a playlist. I miss that version and want more for us free subscribers! I get you have to make money a somwhere, but come on! Don't tease us for a bit, then take it away. Other than that, a pretty decent app."
"August 16, 2016","Ugh there ok, I got premium for free for three months, but after a couple off weeks I would play about three songs in a row, and the song stops playing and I would constantly have to press play. I asked a friend of mine if he had experienced that problem and he had too. I know it's not my connection because of other music apps I play. Get that fixed and then I'll think about purchasing Premium."
"March 31, 2017","Perfect! So easy to personalize and navigate."
"November 5, 2015","Many times I try logging in and out tells me something like ""this email address is already linked to a Spotify account"". Right! Because it's my account, and I'm logging in, I'm not trying to set up a new account. Otherwise the app works as it should."
